Date,Open,High,Low,Close,Adj Close,Volume,DMA,Signal,Buy_signal,Sell_signal
2019-01-01,3746.713379,3850.913818,3707.231201,3843.52002,3843.52002,4324200990,-54.95724796500008,-96.33815778366998,,
2019-01-02,3849.216309,3947.981201,3817.409424,3943.409424,3943.409424,5244856836,-40.9027258630681,-85.25107139954962,,
2019-01-03,3931.048584,3935.685059,3826.2229,3836.741211,3836.741211,4530215219,-37.934365414397234,-75.78773020251914,,
2019-01-04,3832.040039,3865.93457,3783.85376,3857.717529,3857.717529,4847965467,-33.5031019128528,-67.33080454458587,,
2019-01-05,3851.973877,3904.903076,3836.900146,3845.19458,3845.19458,5137609824,-30.64849422460111,-59.99434248058892,,
2019-01-06,3836.519043,4093.297363,3826.513184,4076.632568,4076.632568,5597027440,-9.600417999052297,-49.9155575842816,,
2019-01-07,4078.584961,4092.613525,4020.894043,4025.248291,4025.248291,5228625637,2.9006158414663332,-39.35232289913201,,
2019-01-08,4028.472168,4109.020996,3996.955322,4030.8479,4030.8479,5306593305,13.108510128579383,-28.860156293589736,,
2019-01-09,4031.552002,4068.403564,4022.662842,4035.296387,4035.296387,5115905225,21.311628431832105,-18.82579934850537,,
2019-01-10,4034.411377,4064.06665,3659.174561,3678.924561,3678.924561,6874143796,-0.9328163212526306,-15.247202743054824,,
2019-01-11,3674.015381,3713.881836,3653.069824,3687.365479,3687.365479,5538712865,-17.676820132686316,-15.733126220981124,,3687.365479
2019-01-12,3686.973145,3698.978271,3653.810791,3661.301025,3661.301025,4778170883,-32.67311209739728,-19.121123396264355,,
2019-01-13,3658.868164,3674.76001,3544.927246,3552.953125,3552.953125,4681302466,-52.693137857813326,-25.83552628857415,,
2019-01-14,3557.311035,3727.836182,3552.285156,3706.052246,3706.052246,5651384490,-55.56481633269368,-31.781384297398056,,
2019-01-15,3704.216309,3720.15332,3619.949219,3630.675293,3630.675293,5537192302,-63.19446590323878,-38.0640006185662,,
2019-01-16,3631.509766,3685.7771,3624.67334,3655.006836,3655.006836,5394457145,-66.51096893539534,-43.75339428193203,,
2019-01-17,3651.871094,3680.135986,3621.960938,3678.563965,3678.563965,5464420383,-66.47220781317765,-48.29715698818116,,
2019-01-18,3677.990479,3682.52002,3637.080811,3657.839355,3657.839355,5002961727,-67.33756661698771,-52.10523891394247,,
